poll_species,poll_genus,poll_family,poll_order
Physis holdhausi,Physis,Tettigoniidae ,Orthoptera
Philonthus discoideus,Philonthus,Staphylinidae,Coleoptera
Scholastes palmyra,Scholastes,Platystomatidae ,Diptera
Syritta aenigmatopatria,Syritta,Syrphidae ,Diptera
Polistes aurifer,Polistes,Vespidae,Hymenoptera
Chrysosoma sp,Chrysosoma,Dolichopodidae,Diptera
Sarcophaga peregrina,Sarcophaga,Sarcophagidae,Diptera
Pachodynerus nasidens,Pachodynerus,Vespidae,Hymenoptera
Dasyrhicnoessa sp,Dasyrhicnoessa,Canacidae,Diptera
Siphunculina striolata,Siphunculina,Chloropidae,Diptera
Lamprolonchaea metatarsata,Lamprolonchaea,Lonchaeidae,Diptera
Cadrema pallida,Cadrema,Chloropidae,Diptera
Discocerina sp,Discocerina,Ephydridae,Diptera
Curculionidae sp,NA,Curculionidae,Coleoptera
Piletocera signiferalis,Piletocera,Crambidae ,Lepidoptera
Megachile fullawayi,Megachile,Megachilidae,Hymenoptera
Lucilia sericata,Lucilia,Calliphoridae,Diptera
Diptera sp,NA,NA,Diptera
Eobia sp,Eobia,Oedemeridae,Coleoptera
Projectothrips palmyrae,Projectothrips,Thripidae,Thysanoptera
Milichiella lacteipennis,Milichiella,Milichilidae,Diptera
Araneae sp,NA,NA,Araneae
Salticidae sp,NA,Salticidae,Araneae
Plexippus paykulli,Plexippus,Salticidae,Araneae
Pseudeuxesta prima,Pseudeuxesta,Otitidae,Diptera
Agonoxena argaula,Agonoxena,Elachistidae,Lepidoptera
Diocalandra taitensis,Diacalandra,Curculionidae,Coleoptera
Neoscona theisi,Neoscona,Araneidae,Araneae
Eobia bicolor,Eobia,Oedemeridae,Coleoptera
Sceliphron caementarium,Sceliphron,Sphecidae,Hymenoptera
Atractomorpha sinensis,Atractomorpha,Pyrgomorphidae,Orthoptera
Halmus chalybeus,Halmus,Coccinellidae,Coleoptera
Periplaneta americana,Periplaneta,Blatellidae,Blattodae
Fannia pusio,Fannia,Faniidae,Diptera
Aleyrodidae sp,NA,Aleyrodidae,Hemiptera
Atherigona orientalis,Atherigona,Muscidae,Diptera
Hylaeus strenuus,Hylaeus,Colletidae,Hymenoptera
Platyzosteria soror,Platyzosteria,Blattidae,Blattodae
Blattodae sp,NA,NA,Blattodae
Eobia sinensis,Eobia,Oedemeridae,Coleoptera